280,"(298337.317,5036895.5)",2008-06-11,DOGWOOD,56,164,275
296,"(292848.594,5045458.0)",2018-06-19,COTTONWOOD,119,207,334
302,"(291991.336,5046226.072)",2018-06-21,REDWOOD,33,340,308
304,"(291946.625,5046273.0)",2018-06-20,MAPLE,80,369,55
309,"(298131.164,5042359.0)",2017-12-01,BUCKTHORN,140,24,114
311,"(298136.82,5042367.5)",2016-09-29,OREGONMYRTLE,119,387,384
316,"(298710.025,5044273.0)",2017-01-11,HORSECHESTNUT,76,7,88
334,"(293648.156,5047853.5)",2018-07-31,COTTONWOOD,168,12,81
342,"(293638.069,5047868.696)",2018-07-31,HAZEL,155,185,175
344,"(293670.5,5047888.0)",2018-07-31,COTTONWOOD,167,166,287
353,"(298576.078,5044072.5)",2017-01-11,ELM,182,15,80
362,"(298406.418,5043969.0)",2016-04-29,CYPRESS,76,201,347
363,"(287759.713,5044140.685)",2018-06-28,CHINKAPIN,104,264,307
365,"(287686.318,5044128.752)",2018-06-27,CEDAR,49,380,16
374,"(287953.254,5043954.564)",2018-06-27,BIRCH,76,131,335
379,"(298570.255,5044063.5)",2017-01-11,POPLAR,95,128,123
390,"(298361.319,5043901.0)",2016-04-29,HAZEL,119,31,284
392,"(298368.026,5043911.5)",2016-04-29,HOLLY,163,91,70
398,"(298235.824,5043709.0)",2017-05-08,TANOAK,115,274,45
407,"(293837.361,5034985.11)",2010-08-23,PLUM,39,96,139
416,"(298255.745,5043739.5)",2016-04-29,PLUM,49,67,279
421,"(299641.669,5042477.5)",2004-10-19,CATALPA,157,141,278
423,"(299662.196,5042475.5)",2004-10-19,BASSWOOD,115,275,334
428,"(299619.447,5042457.5)",2004-10-10,ASPEN,42,151,215
432,"(299627.342,5042469.5)",2004-10-19,INCENSECEDAR,145,303,278
434,"(299631.201,5042475.0)",2004-10-19,BIRCH,107,128,196
439,"(298738.957,5043909.0)",2017-01-11,MOUNTAINMAHOGANY,65,364,82
442,"(299649.856,5042503.5)",2004-10-19,ASPEN,99,131,136
443,"(299652.605,5042420.5)",2004-10-19,OREGONMYRTLE,50,114,60
449,"(298253.445,5043825.5)",2017-01-20,REDCEDARARBORVITAE,23,186,42
451,"(295626.168,5054217.315)",2014-10-22,REDWOOD,46,291,174
452,"(298026.008,5043976.5)",2017-01-26,CHINKAPIN,66,84,120
454,"(298600.123,5043679.5)",2017-01-11,CHESTNUT,20,185,360
457,"(295327.656,5045149.0)",2004-11-06,CHINKAPIN,68,242,294
464,"(299154.546,5043214.5)",2017-07-07,INCENSECEDAR,107,336,223
469,"(298991.622,5043337.0)",2017-07-07,JUNIPER,107,20,219
470,"(298985.306,5043326.5)",2017-07-07,PINE,121,46,267
475,"(296150.815,5037011.386)",2010-09-03,OREGONMYRTLE,46,388,128
478,"(299204.95,5043196.5)",2017-07-07,BUCKEYE,145,379,62
